Asset/SSE #,Serial#,Manuf,Model,,Model#,FMV,Cond,On Shelf,Processor Type,Processor Speed,Mem Size (Total),Mem Type,HDD Capacity,HDD Type,HDD Qty,Optical Drive,New OS Load Type,Screen Size,Case Color,Notes/Comments,Mono Page Count,Color Page Count,Total Page Count,Form Factor,price
1179009,2UA41814LF,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,12,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179012,2UA4221N1Q,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179034,2UA4090LGQ,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,7,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179037,2UA4261XMK,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,7,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179038,2UA4090LG0,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,7,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179040,2UA4221N5V,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179041,2UA4330H8X,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179042,2UA41814G9,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179045,2UA41814H7,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,C,7,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179046,2UA4141DY3,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179048,2UA4090LHM,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179056,2UA4330HCR,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179058,2UA4141DXT,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179059,2UA41814G1,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179061,2UA41814JY,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,C,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179063,2UA4141F1L,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179064,2UA41814GC,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179066,2UA4330H96,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179068,2UA4330H6P,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179089,2UA4090LHG,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179091,2UA4141DZ9,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179092,2UA4330H6Z,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179093,2UA4330HBC,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179094,2UA4090LG1,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179096,2UA41814N9,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,C,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179299,2UA4090LFX,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,12,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,No OS Needed,,,,SFF,45
1179304,2UA4330H6F,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,12,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,No OS Needed,,,,SFF,45
1179306,2UA4221N16,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,12,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,No OS Needed,,,,SFF,45
1179308,2UA4090LHL,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179310,2UA41814M1,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,7,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179311,2UA4330H6W,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179312,2UA4221N0P,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179314,2UA41814J3,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,7,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179315,2UA4261XMZ,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179316,2UA4090LKG,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,7,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179317,2UA4221N1N,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179319,2UA4090LJ7,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179327,2UA4141DY9,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179332,2UA41814MX,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,A,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179334,2UA4330H6L,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179335,2UA4330H6G,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179337,2UA4261XJY,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179340,2UA4261XNC,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179342,2UA4261XPG,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,7,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179343,2UA4090LKP,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179344,2UA4090LK8,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,7,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179345,2UA4221N5D,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179350,2UA4141DZJ,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,12,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,No OS Needed,,,,SFF,45
1179351,2UA4261XJ9,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179353,2UA41814JF,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179354,2UA4261XNW,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,12,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,No OS Needed,,,,SFF,45
1179357,2UA4261XL5,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179375,2UA4221N31,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179377,2UA4141DXN,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179380,2UA4221N3L,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,12,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,No OS Needed,,,,SFF,45
1179382,2UA4221N1X,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,12,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,No OS Needed,,,,SFF,45
1179385,2UA4090LKW,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,12,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,No OS Needed,,,,SFF,45
1179387,2UA4090LK2,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,A,12,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179390,2UA41814K7,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,12,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,No OS Needed,,,,SFF,45
1179474,2UA4261XKR,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179477,2UA4261XMV,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179478,2UA4330H6Q,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179480,2UA4221N66,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179482,2UA41814JC,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179483,2UA41814GX,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179489,2UA4090LGF,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179492,2UA41814N8,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179494,2UA4090LK6,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179496,2UA4141F1W,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179497,2UA4141DZ0,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA/SSD,1,,,,Black,,,,,SFF,45
1179498,2UA4261XM9,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179532,2UA4141F1F,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179533,2UA4141DVR,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,C,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179535,2UA4330H67,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179537,2UA4090LG2,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179539,2UA4261XLZ,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179540,2UA4141F14,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179542,2UA4261XN8,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,C,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179543,2UA4141DZ2,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179548,2UA4221N4X,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,8 GB,"DDR3/1600, DDR3/1600",500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179549,2UA4090LMB,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,C,7,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179550,2UA4141DZG,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179552,2UA4261XL9,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179553,2UA4141DYR,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,12,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179557,2UA41814MT,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179559,2UA4330H8F,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179568,2UA4141DXZ,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179571,2UA4330HCQ,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,C,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179576,2UA4330H6C,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179584,2UA4261XKZ,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179589,2UA41814HG,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179611,2UA4261XLV,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179681,2UA4141DWX,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179682,2UA4090LM6,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,,,,,,,BLACK,missing optical drive,,,,SFF,45
1179683,2UA4221N2H,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,7,Intel Pentium G3420 Dual Core,3.20 Ghz,6 GB,"DDR3/1600, DDR3/1333",,,,,,,Black,,,,,SFF,45
1179687,2UA4330H7M,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,7,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179691,2UA4221N46,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179707,2UA4330H8Y,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179708,2UA41814ML,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179710,2UA4261XLT,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179712,2UA4221N6J,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179714,2UA41814GV,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1180072,2UA4330H8M,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1180075,2UA4261XNK,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1180076,2UA4141DVY,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1180084,2UA4261XKX,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,45
1180086,2UA4090LMW,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,C,9,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1180187,2UA4261XJK,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1180189,2UA4090LKY,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1180190,2UA4141F0R,HP,ProDesk 400 G1 SFF,,G5Z06US#ABA,,B,8,Intel Pentium G3420 Dual Core,3.20 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1178970,2UA45025S1,HP,ProDesk 400 G1 SFF,,K6J27US#ABA,,B,8,Intel Pentium G3450 Dual Core,3.40 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1178973,2UA43922M1,HP,ProDesk 400 G1 SFF,,K6J27US#ABA,,B,9,Intel Pentium G3450 Dual Core,3.40 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1178986,2UA43922NG,HP,ProDesk 400 G1 SFF,,K6J27US#ABA,,B,9,Intel Pentium G3450 Dual Core,3.40 Ghz,8 GB,"DDR3/1600, DDR3/1600",500 GB,SATA,1,,,,black,,,,,SFF,45
1178988,2UA45025WK,HP,ProDesk 400 G1 SFF,,K6J27US#ABA,,A,9,Intel Pentium G3450 Dual Core,3.40 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1178989,2UA43922H6,HP,ProDesk 400 G1 SFF,,K6J27US#ABA,,B,9,Intel Pentium G3450 Dual Core,3.40 Ghz,8 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179002,2UA43922MX,HP,ProDesk 400 G1 SFF,,K6J27US#ABA,,B,9,Intel Pentium G3450 Dual Core,3.40 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179003,2UA43922GY,HP,ProDesk 400 G1 SFF,,K6J27US#ABA,,B,9,Intel Pentium G3450 Dual Core,3.40 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
1179013,2UA4411K8X,HP,ProDesk 400 G1 SFF,,K6J27US#ABA,,B,7,Intel Pentium G3450 Dual Core,3.40 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179015,2UA4411K9K,HP,ProDesk 400 G1 SFF,,K6J27US#ABA,,B,7,Intel Pentium G3450 Dual Core,3.40 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179017,2UA4411K8D,HP,ProDesk 400 G1 SFF,,K6J27US#ABA,,B,8,Intel Pentium G3450 Dual Core,3.40 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,black,,,,,SFF,45
