Asset/SSE #,Serial#,Manuf,Model,,Model#,FMV,Cond,On Shelf,Processor Type,Processor Speed,Mem Size (Total),Mem Type,HDD Capacity,HDD Type,HDD Qty,Optical Drive,New OS Load Type,Screen Size,Case Color,Notes/Comments,Mono Page Count,Color Page Count,Total Page Count,Form Factor,price
1172437,MJ34N27,Lenovo,ThinkCentre M72e,,3660-A73,,A,15,Intel Core i3-2130 Dual Core,3.40 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,60
1172761,MJ17W9F,Lenovo,ThinkCentre M72e,,3660-A73,,B,15,Intel Core i3-2130 Dual Core,3.40 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,60
1172867,MJ17C3W,Lenovo,ThinkCentre M72e,,3660-A73,,A,15,Intel Core i3-2130 Dual Core,3.40 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,60
1172903,MJ34N16,Lenovo,ThinkCentre M72e,,3660-A73,,B,15,Intel Core i3-2130 Dual Core,3.40 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,60
1178094,MJ09A13,Lenovo,ThinkCentre M72e,,3660-A73,,B,9,Intel Core i3-2130 Dual Core,3.40 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,60
1178095,MJ80C6M,Lenovo,ThinkCentre M72e,,3660-A73,,B,9,Intel Core i3-2130 Dual Core,3.40 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,60
1178097,MJ80C7N,Lenovo,ThinkCentre M72e,,3660-A73,,B,9,Intel Core i3-2130 Dual Core,3.40 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,60
1178098,MJ80R4M,Lenovo,ThinkCentre M72e,,3660-A73,,B,9,Intel Core i3-2130 Dual Core,3.40 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,60
1178236,MJ34N40,Lenovo,ThinkCentre M72e,,3660-A73,,A,8,Intel Core i3-2130 Dual Core,3.40 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,60
1140676,MXL30116G0,HP,6000 Pro SFF,,SK036UP#ABA,,C,5,Intel Core i3-2350M Dual Core,2.50 Ghz,4 GB,DDR3,250 GB,SATA,1,,,,Black,,,,,SFF,60
1165177,MXL3011176,HP,Pro 6300 SFF,,D5V53UP#ABA,,B,5,Intel Core i3-3220 Dual Core,3.30 Ghz,4 GB,DDR3/1600,250 GB,SATA,1,,,,BLACK,,,,,SFF,60
1172749,MJVAKZC,Lenovo,ThinkCentre M72e,,0967-A7U,,B,15,Intel Core i3-3220 Dual Core,3.30 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,60
1172750,MJVADRA,Lenovo,ThinkCentre M72e,,0967-A7U,,A,14,Intel Core i3-3220 Dual Core,3.30 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,60
1172751,MJVAKYW,Lenovo,ThinkCentre M72e,,0967-A7U,,B,15,Intel Core i3-3220 Dual Core,3.30 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,60
1172753,MJVAKZD,Lenovo,ThinkCentre M72e,,0967-A7U,,B,15,Intel Core i3-3220 Dual Core,3.30 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,60
1172758,MJADNB,Lenovo,ThinkCentre M72e,,0967-A7U,,A,13,Intel Core i3-3220 Dual Core,3.30 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,60
1172759,MJVADMR,Lenovo,ThinkCentre M72e,,0967-A7U,,B,15,Intel Core i3-3220 Dual Core,3.30 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,60
1172762,MJVADPZ,Lenovo,ThinkCentre M72e,,0967-A7U,,B,15,Intel Core i3-3220 Dual Core,3.30 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,60
1172789,MJVAKYX,Lenovo,ThinkCentre M72e,,0967-A7U,,A,14,Intel Core i3-3220 Dual Core,3.30 Ghz,4 GB,DDR3/1600,500 GB,SATA/SSD,1,,,,Black,,,,,SFF,60
1172790,MJVAECY,Lenovo,ThinkCentre M72e,,0967-A7U,,C,14,Intel Core i3-3220 Dual Core,3.30 Ghz,4 GB,DDR3/1600,500 GB,SATA/SSD,1,,,,Black,,,,,SFF,60
1172885,MJVALCZ,Lenovo,ThinkCentre M72e,,0967A7U,,B,13,Intel Core i3-3220 Dual Core,3.30 Ghz,4 GB,DDR3/1600,500 GB,SAS/SSD,1,,,,Black,,,,,SFF,60
1179481,2UA3170TFY,HP,Pro 4300 SFF,,D8C84UT#ABA,,B,9,Intel Core i3-3220 Dual Core,3.30 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,60
1172346,MJ66RY3,Lenovo,ThinkCentre M73,,10B7S00T00,,B,15,Intel Core i3-3240 Dual Core,3.40 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,60
1172748,MJ95YX8,Lenovo,ThinkCentre M72e,,3660-A73,,C,15,Intel Core i3-3240 Dual Core,3.40 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,60
1172752,MJ66RY0,Lenovo,ThinkCentre M72e,,0967-A7U,,B,15,Intel Core i3-3240 Dual Core,3.40 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,60
1172756,MJ66RX8,Lenovo,ThinkCentre M72e,,3660-A73,,B,14,Intel Core i3-3240 Dual Core,3.40 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,Black,,,,,SFF,60
1179364,MJ037WWT,Lenovo,ThinkCentre M73,,10B4-S1T003,,C,8,Intel Core i3-4130 Dual Core,3.40 Ghz,8 GB,"DDR3/1600, DDR3/1600",500 GB,SATA,1,,,,black,,,,,SFF,70
1179659,MJ03M3EA,Lenovo,ThinkCentre M73,,S1T003,,C,7,Intel Core i3-4130 Dual Core,3.40 Ghz,16 GB,"DDR3/1600, DDR3/1600",500 GB,SATA,1,,,,BLACK,,,,,SFF,70
1178978,2UA22605WK,HP,4000 Pro SFF,,H3E60US#ABA,,B,8,Intel Pentium Dual Core E6600,3.06GHz,4 GB,"DDR3/1333, DDR3/1333",500 GB,SATA,1,,,,black,,,,,SFF,45
1179107,2UA22605WF,HP,4000 Pro SFF,,H3E60US#ABA,,B,8,Intel Pentium Dual Core E6600,3.00 Ghz,6 GB,"DDR3/1333, DDR3/1333, DDR3/1333",500 GB,SATA,1,,,,Black,,,,,SFF,45
1179132,2UA22605TC,HP,4000 Pro SFF,,H3E60US#ABA,,B,8,Intel Pentium Dual Core E6600,2.40GHz,6 GB,"DDR3/1333, DDR3/1333, DDR3/1333",500 GB,SATA,1,,,,Black,,,,,SFF,45
1179640,2UA22605VD,HP,4000 Pro SFF,,H3E60US#ABA,,B,8,Intel Pentium Dual Core E6600,3.06GHz,4 GB,,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179894,2UA22605XK,HP,4000 Pro SFF,,H3E60US#ABA,,B,8,Intel Pentium Dual Core E6600,3.06GHz,4 GB,"DDR3/1333, DDR3/1333",500 GB,SATA,1,,,,black,,,,,SFF,45
1180150,2UA22605Y3,HP,4000 Pro SFF,,H3E60US#ABA,,C,9,Intel Pentium Dual Core E6600,3.06GHz,4 GB,"DDR3/1333, DDR3/1333",500 GB,SATA,1,,,,black,,,,,SFF,45
1180153,2UA22605SM,HP,4000 Pro SFF,,H3E60US#ABA,,B,8,Intel Pentium Dual Core E6600,3.06GHz,4 GB,"DDR3/1333, DDR3/1333",500 GB,SATA,1,,,,black,,,,,SFF,45
1069865,MXL128171L,HP,4000 Pro,,LA071UT#ABA,,A,92,Intel Pentium E6700 Dual Core,3.20 Ghz,400 GB,"DDR3/1333, DDR3/1333, DDR3/1333",250 GB,SATA/SSD,1,,,,Black,,,,,SFF,45
1178976,2UA3501B2S,HP,Pro 4300 SFF,,F7D87US#ABA,,B,9,Intel Pentium G2030 Dual Core,3.00 Ghz,8 GB,"DDR3/1333, DDR3/1333",500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1178977,2UA3451FGK,HP,Pro 4300 SFF,,F7D87US#ABA,,A,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179004,2UA3451FH3,HP,Pro 4300 SFF,,F7D87US#ABA,,B,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
